"Date","Price","Open","High","Low","Vol.","Change %"
"07/17/2014","4,392.15","4,392.15","4,392.15","4,392.15","","0.06%"
"07/16/2014","4,389.35","4,389.35","4,389.35","4,389.35","","0.61%"
"07/15/2014","4,362.78","4,362.78","4,362.78","4,362.78","","-0.32%"
"07/14/2014","4,376.89","4,376.89","4,376.89","4,376.89","","0.75%"
"07/13/2014","4,344.36","4,344.36","4,344.36","4,344.36","","-0.43%"
"07/10/2014","4,363.08","4,363.08","4,363.08","4,363.08","","-0.18%"
"07/09/2014","4,371.00","4,371.00","4,371.00","4,371.00","","-0.13%"
"07/08/2014","4,376.52","4,376.52","4,376.52","4,376.52","","-0.01%"
"07/07/2014","4,376.77","4,376.77","4,376.77","4,376.77","","-0.78%"
"07/06/2014","4,411.15","4,411.15","4,411.15","4,411.15","","-0.56%"
"07/03/2014","4,436.20","4,436.20","4,436.20","4,436.20","","-0.68%"
"07/02/2014","4,466.61","4,466.61","4,466.61","4,466.61","","-0.31%"
"06/30/2014","4,480.52","4,480.52","4,480.52","4,480.52","","-0.15%"
"06/29/2014","4,487.07","4,487.07","4,487.07","4,487.07","","1.76%"
"06/26/2014","4,409.42","4,409.42","4,409.42","4,409.42","","0.13%"
"06/25/2014","4,403.64","4,403.64","4,403.64","4,403.64","","0.24%"
"06/24/2014","4,392.94","4,392.94","4,392.94","4,392.94","","0.57%"
"06/23/2014","4,367.89","4,367.89","4,367.89","4,367.89","","1.06%"
"06/22/2014","4,322.26","4,322.26","4,322.26","4,322.26","","-0.14%"
"06/19/2014","4,328.40","4,328.40","4,328.40","4,328.40","","-0.28%"
"06/18/2014","4,340.46","4,340.46","4,340.46","4,340.46","","0.04%"
"06/17/2014","4,338.87","4,338.87","4,338.87","4,338.87","","-0.46%"
"06/16/2014","4,358.75","4,358.75","4,358.75","4,358.75","","-0.06%"
"06/15/2014","4,361.58","4,361.58","4,361.58","4,361.58","","-1.07%"
"06/12/2014","4,408.80","4,408.80","4,408.80","4,408.80","","-0.05%"
"06/11/2014","4,411.17","4,411.17","4,411.17","4,411.17","","0.21%"
"06/10/2014","4,401.88","4,401.88","4,401.88","4,401.88","","-0.32%"
"06/09/2014","4,415.96","4,415.96","4,415.96","4,415.96","","1.60%"
"06/08/2014","4,346.33","4,346.33","4,346.33","4,346.33","","-1.14%"
"06/05/2014","4,396.54","4,396.54","4,396.54","4,396.54","","-0.10%"
"06/04/2014","4,401.00","4,401.00","4,401.00","4,401.00","","-0.40%"
"06/03/2014","4,418.79","4,418.79","4,418.79","4,418.79","","-0.64%"
"06/02/2014","4,447.45","4,447.45","4,447.45","4,447.45","","-0.03%"
"06/01/2014","4,448.57","4,448.57","4,448.57","4,448.57","","0.41%"
"05/29/2014","4,430.47","4,430.47","4,430.47","4,430.47","","-0.01%"
"05/28/2014","4,430.98","4,430.98","4,430.98","4,430.98","","0.34%"
"05/27/2014","4,415.75","4,415.75","4,415.75","4,415.75","","0.85%"
"05/26/2014","4,378.34","4,378.34","4,378.34","4,378.34","","0.00%"
"05/25/2014","4,378.25","4,378.25","4,378.25","4,378.25","","-0.13%"
"05/22/2014","4,384.06","4,384.06","4,384.06","4,384.06","","-0.60%"
"05/21/2014","4,410.63","4,410.63","4,410.63","4,410.63","","1.08%"
"05/20/2014","4,363.49","4,363.49","4,363.49","4,363.49","","-0.02%"
